ID,occupied,start_frequency,end_frequency
2081,no,1000,1005
2082,no,1005,1010
2083,no,1010,1015
2084,no,1015,1020
4084,yes,1020,1030
2085,yes,1030,1040
2086,yes,1040,1045
2087,yes,1045,1050
2088,yes,1050,1055
2089,yes,1055,1065
2090,yes,1065,1070
2091,yes,1070,1075
2092,yes,1075,1080
2093,yes,1080,1085
2094,yes,1085,1090
2095,yes,1090,1095
2096,no,1095,1100
3096,no,1100,1120
3098,no,1125,1200
2098,yes,1210,1220
2099,yes,1220,1230
2100,yes,1230,1235
2101,yes,1235,1240
2102,yes,1240,1245
2103,yes,1245,1255
2104,no,1255,1260
2105,no,1260,1265
2106,no,1265,1270
2107,no,1270,1280
3097,no,1280,1300
2108,no,1300,1390
2109,no,1405,1410
2110,no,1410,1415
2111,no,1415,1420
3135,yes,1420,1445
3136,yes,1424.25,1428.25
3137,no,1428.5,1436
3138,yes,1436.25,1441.25
2112,no,1445,1450
2113,yes,1450,1455
2114,yes,1455,1460
4115,yes,1500,1600
3116,no,1583.5,1600
2117,no,1596,1602
2118,no,1602,1607.5
2119,no,1607.5,1613
2120,no,1613,1618.5
2121,no,1618.5,1624
2122,no,1624,1629.5
2123,yes,1629.5,1635
2124,yes,1635,1640.5
2125,yes,1640.5,1646
2126,yes,1646,1651.5
2127,yes,1651.5,1657
2128,yes,1657,1662.5
2129,yes,1662.5,1668
2130,no,1668,1672
2131,no,1672,1679.5
2132,no,1679.5,1687
2133,no,1687,1694.5
2134,no,1694.5,1702
2135,no,1702,1708
2136,no,1708,1714
2137,no,1714,1718
2138,no,1718,1724
2139,no,1724,1729.5
2140,no,1729.5,1735
2141,no,1735,1740.5
2142,no,1740.5,1746
2143,no,1746,1751.5
2144,no,1751.5,1757
2145,yes,1757,1762.5
2146,yes,1762.5,1768
2147,yes,1768,1773.5
2148,yes,1773.5,1779
2149,no,1779,1784.5
2150,no,1784.5,1790
